name,surname,pesel,date_of_birth
Łukasz,Martyka,14243626026,1994-02-13
Alex,Barteczko,66109010887,2000-12-01
Sara,Drewnik,37717340731,1998-09-18
Stanisław,Bartkowicz,55669952312,2000-06-02
Aurelia,Bakalarczyk,70506827238,1988-12-17
Jędrzej,Butrym,24334617869,1992-07-01
Elżbieta,Grabara,70235248192,1988-10-11
Klara,Wojtyna,74252430714,1979-08-11
Rozalia,Tereszkiewicz,79514272928,1970-08-10
Olaf,Raba,11419502773,1997-04-05
Witold,Gosik,99456431538,1981-03-22
Dariusz,Capała,10765905003,2002-07-26
Emil,Toma,34516030281,1975-10-20
Marianna,Pytlarz,39338110646,1983-12-19
Jacek,Czerepak,99752902204,1981-10-02
Filip,Białk,67144585727,1979-09-20
Kalina,Rosłon,97532065566,1990-04-29
Kamil,Siwczak,54773449884,1977-03-07
Kaja,Węgrzynek,60741992911,1995-07-22
Olgierd,Szkopek,96067997403,1999-10-16
Julianna,Kopała,92145426474,1997-09-20
Fabian,Kubek,12477735155,1998-08-07
Nikodem,Jędraszczyk,17455891375,1978-12-15
Alex,Tondera,54529498593,1991-06-09
Błażej,Stypka,74871854109,1997-07-31
Andrzej,Krysik,27122955539,1997-11-25
Karol,Grochola,55731739379,1996-06-15
Mateusz,Gromala,68881930419,1999-11-21
Olaf,Narożna,43438080189,1993-12-08
Janina,Duszczyk,79819375778,1991-04-11
Szymon,Pszczółka,59692815125,1997-11-05
Marcin,Pokusa,22631515583,1979-03-15
Damian,Andziak,37694814394,1984-02-21
Blanka,Smagacz,56631076752,1986-07-28
Stefan,Klepka,74206255779,1994-02-03
Eryk,Nehring,37017247773,1999-07-17
Kajetan,Bylina,30010366607,1993-12-29
Ryszard,Kondej,78283707133,1978-06-08
Bartek,Hampel,48980383591,1995-05-18
Borys,Kołpak,40201950354,1984-06-16
Cezary,Łuczkiewicz,89364324025,1970-05-15
Julianna,Ziniewicz,36768006103,1983-04-18
Sandra,Kozdroń,52030200400,1973-12-02
Gaja,Januchta,94317250071,1974-03-16
Marcel,Pałac,13845674303,1991-03-05
Tomasz,Korzonek,64499217578,2000-02-07
Bruno,Knapek,59896468997,1970-12-08
Nikodem,Tarach,88107536746,1985-02-16
Marek,Golan,76910214166,1983-10-02
Eliza,Cierpka,26408427561,1971-04-19
Mateusz,Szajner,86761385419,1991-09-01
Ryszard,Marchlewicz,28699003467,1983-10-07
Tola,Brejnak,74192317415,1982-12-13
Radosław,Smela,50136599705,1970-06-21
Witold,Suszko,76053345376,1987-01-03
Tomasz,Bociek,81563677962,1978-04-22
Filip,Pioch,86347365004,1984-06-20
Mikołaj,Łapacz,95868840400,1977-06-29
Łukasz,Micał,50965673416,1978-09-28
Leon,Słyk,26635006031,1998-11-30
Liwia,Puto,64248669367,1989-03-20
Damian,Teodorowicz,74669141567,1988-06-03
Mieszko,Misiuk,93857217951,1985-02-06
Sonia,Żołądkiewicz,69381096969,1991-04-16
Marcel,Łyskawa,52387044219,1977-02-15
Dawid,Szarejko,21010247517,1975-05-01
Alan,Laszczyk,29814017083,2001-11-06
Ada,Fraś,72437500961,1991-04-18
Liwia,Moździerz,62061734235,1995-11-17
Ewa,Gregorczuk,47438545295,1991-06-29
Kaja,Woda,22795189637,1995-08-11
Alex,Soczewka,75291251727,1999-10-10
Ksawery,Trzcionka,64397532988,1988-03-27
Tomasz,Trawka,25554783926,1998-08-17
Błażej,Stypa,19454150501,1971-04-03
Błażej,Kozłowicz,36078058307,2002-05-03
Cezary,Rudyk,23340997145,1987-06-27
Ida,Wieczerzak,17639700346,1993-08-31
Arkadiusz,Szczypiór,36367332044,1993-04-01
Olga,Buszka,99398650768,1987-06-20
Jerzy,Ciepluch,14667527240,1983-04-28
Anita,Wawrzyn,16089431303,1979-02-15
Nela,Maruszczyk,39787014823,1974-04-11
Jeremi,Samiec,45364569183,1980-01-15
Juliusz,Swatek,47821512089,1990-10-22
Mateusz,Pelka,14157227112,1983-12-30
Norbert,Małż,54445630606,1976-06-04
Błażej,Opioła,53655454449,1976-12-17
Józef,Kościesza,30546970222,2001-01-25
Janina,Senator,17266925448,1972-06-11
Marianna,Janisz,14267655397,1984-07-03
Jędrzej,Gonsior,65204298469,1977-07-13
Blanka,Węgrzynowicz,65638795721,1993-01-12
Józef,Słoka,10557570144,1981-12-02
Borys,Linek,70689236231,1989-06-03
Wiktor,Skolik,97511373623,1993-09-26
Mieszko,Kiedrowicz,36342303970,1970-09-07
Janina,Granat,52003632880,2001-01-20
Kornelia,Giec,55250008461,1982-06-20
Sonia,Byra,81829471655,1976-07-24
Adrianna,Truchel,63512128094,1998-12-31
Juliusz,Nastaj,24096917629,1998-07-16
Tadeusz,Pedrycz,37733184129,1972-05-19
Jeremi,Olchawa,90124052952,1974-05-26
Cyprian,Wota,15281393245,1970-01-25
Dominik,Dycha,72127726278,1970-10-04
Jerzy,Botor,18697744463,1987-08-24
Tymoteusz,Strzępek,37870399337,1972-05-10
Fabian,Zacharewicz,43610346671,1988-02-17
Maciej,Roskosz,66493758036,1978-12-31
Paweł,Hendzel,27431598839,1972-06-05
Juliusz,Palonek,41717757415,1980-02-15
Borys,Dej,42305054917,1995-02-21
Daniel,Pacholak,24142422430,1986-09-12
Nela,Warwas,76528597368,2000-02-14
Ernest,Ryszkiewicz,97310096956,1970-10-22
Nicole,Beker,75699463725,1994-03-21
Szymon,Ulewicz,37790701290,2000-05-02
Stefan,Dywan,94072503702,1988-09-06
Aleks,Duży,71415399230,2003-08-31
Anita,Gogola,34286747495,1971-12-25
Patryk,Dorociak,13266145256,1986-05-31
Dawid,Duczek,60725452308,1973-08-30
Fryderyk,Jeżyna,73450894685,1971-01-29
Olgierd,Rudolf,41786965938,1984-01-08
Witold,Szott,87888963216,1996-07-04
Aleks,Parzonka,89020350119,1983-08-19
Konstanty,Bukowiec,64818189521,1999-08-22
Daniel,Klucznik,17887927074,1971-12-10
Piotr,Gajdzik,73720584427,1991-09-05
Iwo,Liss,97284105216,1993-03-06
Karol,Winnik,62796041537,1982-06-26
Mieszko,Lindner,50266883841,1974-02-07
Ernest,Złotek,97341115082,1989-06-21
Janina,Madera,18248814766,2001-03-10
Natasza,Zera,84528354876,1988-08-06
Cyprian,Fita,15061308339,1988-07-07
Borys,Kiljan,85396229137,1989-03-16
Aleksander,Zawiasa,97100670966,1977-11-22
Maciej,Zmuda,54043738265,1986-04-13
Kornel,Cyganik,78924288440,2000-10-03
Stanisław,Opyrchał,65173732914,1971-10-04
Gabriel,Dargacz,19988486235,2003-11-15
Andrzej,Gryka,65109123625,1998-07-21
Igor,Pielka,63904483609,1981-03-03
Emil,Wojewódka,68149451026,1974-11-22
Nela,Palonek,81975242960,1985-01-02
Jakub,Szarpak,75056559305,1987-01-12
Cezary,Henke,91676836216,1970-10-29
Apolonia,Kmak,83956862952,1988-09-28
Ada,Wypchło,11540406177,1996-03-23
Krystyna,Matyjaszek,28566286460,1978-01-16
Monika,Kłósek,29740588754,1973-01-08
Krzysztof,Brzęk,25840837497,2001-08-13
Kalina,Kowaluk,97637185449,1987-09-10
Filip,Lewicz,70039896291,1978-03-28
Inga,Borak,78178642648,1981-09-05
Marianna,Woźniczko,74917499567,1971-05-01
Klara,Witaszek,31593624146,1982-07-22
Rafał,Orkisz,58632048582,2001-01-23
Damian,Kozon,47356676934,1996-01-26
Dorota,Kamieniarz,29077309240,1994-12-23
Kornelia,Małyszka,98172217972,1989-05-12
Fryderyk,Gęgotek,40820992455,1990-08-15
Jędrzej,Kruś,35818568658,1983-12-05
Tola,Mytnik,88125616757,1979-03-20
Miłosz,Piekarek,25361928062,1985-08-01
Aleks,Ruszczak,50620625257,1972-01-06
Julian,Plich,22482807923,1986-03-31
Andrzej,Kasznia,65130200362,1974-11-21
Błażej,Bernard,81425660589,2001-11-20
Tadeusz,Wawrzyk,31168105634,1991-02-04
Albert,Mularz,34255399708,2002-11-22
Fryderyk,Kieszek,27993704071,1974-10-24
Jędrzej,Karaśkiewicz,14076230069,1986-09-10
Jeremi,Marcol,91953796746,1986-01-06
Klara,Dulas,81198494968,2003-03-18
Ryszard,Siedlarz,96432587054,1997-10-25
Daniel,Mortka,19223803618,1977-03-02
Sebastian,Kiliszek,18574251288,1984-12-10
Adrian,Komsta,82292356255,1974-06-24
Justyna,Jędrusiak,58857433828,1982-05-05
Jakub,Boruc,90198143888,1999-04-17
Gaja,Frelek,37970756664,1998-04-15
Damian,Żybura,64122651191,1994-06-25
Julita,Krekora,94420168257,1986-11-30
Karina,Prygiel,96550989688,1979-07-20
Mariusz,Strug,32610015737,1974-10-20
Iwo,Bobik,49726019132,1984-08-11
Anna Maria,Ślimak,90410718595,1972-08-05
Roksana,Czubaj,72666847426,1996-11-13
Karina,Rozum,70729993697,1993-07-05
Tadeusz,Wiak,62281696176,1986-02-03
Olga,Kwapis,52857421439,1992-01-19
Marek,Młynarz,86381095112,1972-06-17
Cezary,Gumuła,17101000959,1978-01-14
Lidia,Kubasiak,95752556514,1992-12-03
Michał,Dziadura,74129285844,1993-12-18
Alan,Tomys,82289053891,1984-05-05
Damian,Budzich,95718533763,1990-12-16
Kornelia,Faruga,60186061934,1998-07-04
Anastazja,Karwala,71912304497,1985-03-28
Kornel,Lichoń,90267752859,1999-03-23
Marianna,Tondera,87596558635,1970-07-20
Tobiasz,Samol,56700417668,1995-06-14
Anna Maria,Trznadel,34359041884,1973-11-19
Franciszek,Stwora,74866516450,1999-10-11
Tola,Kunda,92285666719,1980-07-06
Fabian,Graś,94153962913,1986-10-23
Antoni,Cisoń,81059638167,1980-06-24
Aurelia,Słowiak,89760569014,1981-12-16
Gaja,Prygiel,87957163659,1977-09-07
Anastazja,Molek,91416555332,1983-07-23
Maciej,Sromek,15682053749,1988-09-28
Miłosz,Sykała,10037371855,2000-03-30
Jacek,Bobak,54494081971,1973-04-07
Dagmara,Morgała,39458240034,1998-12-11
Patryk,Jędraszek,12591969211,1993-03-04
Jacek,Przeklasa,20113964353,1976-04-29
Mikołaj,Ostręga,15434692976,2000-11-07
Leon,Gryga,11094046995,1970-04-27
Eliza,Szurek,31051815353,2000-09-25
Rozalia,Wałdoch,91611050473,1992-07-30
Melania,Wałek,64269842685,1970-01-31
Witold,Juraszczyk,87612618763,1984-07-20
Albert,Herda,36577149582,1975-11-18
Jerzy,Przekwas,72169966119,1997-11-26
Karina,Jędrak,44274762967,1997-09-27
Melania,Breś,95619060717,1980-04-09
Piotr,Kruszka,96913816961,1987-09-28
Arkadiusz,Wszoła,88895160299,1979-11-10
Krystian,Karkut,20986217738,1976-03-04
Konrad,Wasilewicz,73322250094,1977-07-19
Aleks,Flaga,33586799078,2003-09-14
Gaja,Strzała,98851369993,2003-03-30
Agnieszka,Fijałek,37513374034,1987-06-24
Marcin,Kocoł,85949151058,1975-01-19
Artur,Kujawiak,80186408287,1993-09-21
Gustaw,Gieroń,72776758086,1981-10-10
Sonia,Bereś,65529811864,1976-10-09
Cezary,Juroszek,16246532234,1972-05-15
Róża,Żuchowicz,40066482762,1985-08-05
Klara,Demiańczuk,90553663665,1998-04-04
Konstanty,Jop,28830215563,1988-09-04
Michał,Zaguła,97751898792,1972-10-31
Bruno,Okraska,97055515755,1990-06-18
Fryderyk,Jarmużek,82039354869,1989-10-26
Kamila,Holewa,68348633291,1992-10-29
Sandra,Kucharzyk,14680268194,1987-03-18
Przemysław,Waloch,84980933541,1975-03-02
Mariusz,Kubów,54220027160,1972-07-10
Filip,Ochab,74114988495,1977-08-29
Marcelina,Tylec,33725742552,1985-07-25
Adrian,Kunc,44397448856,1999-03-09
Krystian,Groth,38066180435,2001-05-22
Sebastian,Ogłaza,70268400159,1994-04-19
Tadeusz,Mikus,16659510355,1981-06-28
Mateusz,Wujek,76133103262,1972-04-02
Inga,Kordys,20612209207,1985-09-15
Mariusz,Dytko,92045438467,1992-10-31
Radosław,Borysiewicz,49750327945,2001-02-04
Rozalia,Wnuczek,18638135218,2001-02-08
Sebastian,Stanisławczyk,69095228887,1973-09-16
Adrian,Karalus,16885396314,1997-08-18
Jakub,Waszczyk,48490858252,1997-06-27
Tobiasz,Hetmańczyk,47678982522,2001-01-14
Artur,Mularz,11590402003,1985-09-17
Wiktor,Brzykcy,77264145618,1979-06-27
Paweł,Bulczak,97271148794,1993-09-13
Roksana,Sprycha,33503306588,1978-01-15
Kornel,Żołna,89222624810,1991-06-02
Damian,Wojtunik,49857838579,1998-03-13
Maurycy,Karpeta,71003907769,1985-09-29
Stefan,Cierpka,88897922830,1973-09-15
Aleks,Huczek,25815753192,1990-02-16
Alex,Cukier,68072309353,1980-12-22
Karina,Konstanty,89148441411,1978-11-29
Malwina,Łudzik,47840979139,1977-02-23
Rozalia,Salawa,77811309692,1974-02-13
Tymoteusz,Owsiak,69555151383,1988-06-02
Oskar,Bittner,37100412846,1981-02-24
Anita,Perlik,17667554990,2002-06-19
Jeremi,Rzońca,61251204627,1997-07-01
Tymon,Mały,85783006934,2002-07-03
Łukasz,Megger,19893549489,1996-09-25
Gabriel,Urynowicz,60430879080,1979-01-18
Norbert,Ochał,89968212009,1996-06-28
Norbert,Westfal,29163720218,1971-02-05
Michał,Śmieja,98795940808,1986-04-15
Aniela,Andreasik,78869022834,1997-11-11
Krzysztof,Nowotka,56127252232,1980-06-09
Emil,Jasnoch,39683122842,1983-06-15
Janina,Ludwin,31131987220,1995-08-29
Monika,Kranc,83857087403,1979-04-19
Juliusz,Wawrzkiewicz,34961090974,1974-04-10
Fabian,Szyguła,62390610605,2003-03-25
Fryderyk,Kostorz,61292659293,1983-07-10
Franciszek,Dziadowicz,81273800452,1989-10-01
Ernest,Jeżyna,19251395239,1985-06-27
Eliza,Rembacz,56738641117,1979-01-16
Kamila,Młodzik,79262809665,1977-07-22
Marcel,Świt,42312498660,1994-12-31
Kacper,Mazek,64781121764,1980-10-01
Sara,Miotke,30302197785,1998-12-28
Stanisław,Kolanek,74009038882,2001-08-20
Hubert,Zmyślony,31821623086,1973-03-20
Tadeusz,Słupik,16787546015,1977-10-11
Liwia,Strawa,13244953787,1987-12-25
Julita,Ratka,19203398874,2001-06-29
Miłosz,Pazoła,25160429952,1991-10-11
Witold,Trochimiuk,41273535598,1990-11-24
Mieszko,Doruch,15077061181,1975-07-12
Ignacy,Trojanowicz,49331571574,1995-03-03
Janina,Świętoń,18667500308,1972-10-06
Oliwier,Kandora,63452758519,1998-02-17
Kacper,Lewek,12308035718,1993-03-01
Anita,Mycek,19292988764,1993-02-12
Fabian,Święs,79009367663,1985-05-01
Kornel,Wochna,99336898626,1983-05-15
Leonard,Brodowicz,61177592189,1979-06-20
Radosław,Nogieć,53950053314,1981-08-07
Adrianna,Klęczar,76045395607,1971-02-24
Aleksander,Maksym,53263441085,1973-04-14
Apolonia,Irzyk,33694428473,1985-04-05
Adam,Poczta,46726538407,1989-05-03
Emil,Fuławka,94793155851,1983-04-19
Maurycy,Kubowicz,15583828852,1979-03-16
Adam,Roskosz,41506147638,1994-06-25
Marianna,Przewoźnik,61671003977,1988-05-22
Jeremi,Mizia,46281051272,1971-12-27
Tymon,Granat,20892959595,1984-09-28
Dawid,Kiełbowicz,45935766874,1983-11-16
Maks,Wiatrak,46409770724,1986-12-24
Klara,Żal,40191929762,1989-08-12
Marcin,Ulewicz,79363974331,1993-07-23
Julianna,Lipowicz,15086013746,1987-05-31
Dariusz,Gołota,45501732191,1983-08-17
Eryk,Czosnyka,34510637589,1993-06-14
Kornelia,Bartoszak,41525277993,1990-10-09
Piotr,Gros,88604055271,1971-07-04
Grzegorz,Bas,14825144654,1998-08-16
Filip,Władyka,15499153092,1988-08-15
Kamil,Jaszczur,15708606381,1977-06-25
Krystyna,Stefankiewicz,65328744438,1997-01-27
Piotr,Zachwieja,22292787894,2002-03-20
Tola,Bereś,97362928258,1984-02-19
Tymoteusz,Oleksiuk,89938092940,1984-07-02
Justyna,Siedlik,45485866733,1989-10-01
Albert,Haraburda,79942816509,1979-02-24
Jacek,Pułka,41983055952,1975-03-23
Eryk,Kurczab,28350803866,1997-07-17
Krystyna,Gotfryd,33801167800,1991-09-17
Sandra,Ficner,67287018402,1979-08-28
Mikołaj,Jeske,78728398068,1984-08-13
Julita,Labocha,86544235639,1989-04-21
Sebastian,Wojcik,34203994904,1986-07-11
Alan,Mazepa,15098182596,1999-05-22
Marcel,Granat,52865833946,1972-05-30
Dariusz,Szyc,57253908893,1988-05-25
Miłosz,Bieszke,38528058813,1987-11-26
Anna Maria,Kordus,82956054385,1983-04-29
Nataniel,Pytko,95193190955,1984-03-14
Kalina,Serwach,95068511899,1997-10-19
Aleks,Utrata,40700361298,1997-05-19
Piotr,Praczyk,85401938786,1980-10-31
Tola,Zimoląg,90304801714,1977-01-10
Sara,Siwka,56499232884,1986-02-14
Kamila,Grygo,98405338864,1992-01-02
Olgierd,Tołoczko,99518176662,1972-10-16
Hubert,Lula,98335247432,1991-07-12
Tobiasz,Doktór,54197706448,1996-01-12
Iwo,Godzik,22236721032,1993-06-23
Igor,Porwoł,83860054615,1985-06-11
Marcel,Smolka,55882147874,1981-09-18
Krystian,Chorążewicz,73137529897,1970-04-03
Jakub,Twardzik,75357039723,2002-12-27
Eryk,Labudda,39734805584,1990-05-25
Natan,Fita,59292198443,1980-04-18
Gustaw,Rajman,55880319251,1978-01-24
Karina,Żółtek,57544366537,1998-08-29
Józef,Luberda,95764400736,1975-12-18
Alan,Gamoń,95143169328,1982-05-06
Urszula,Armatys,82358969748,1997-10-28
Agnieszka,Rusnak,35654268991,1976-10-29
Krystyna,Tadeusiak,98642114240,1999-02-18
Stefan,Majak,19964050445,1978-08-23
Błażej,Domińczak,36803063059,1985-01-02
Natasza,Salach,12816103618,1979-10-18
Roksana,Sygut,16519363235,1978-08-29
Sebastian,Wasyluk,20017911426,1986-10-14
Nela,Turlej,97681024320,1984-09-06
Rozalia,Dąbkiewicz,50461088279,1972-09-05
Aniela,Lula,88084772977,1988-06-30
Alan,Gierasimiuk,63136036671,1992-01-19
Jędrzej,Walencik,82051581391,1981-05-12
Tymon,Łacina,35428063654,1985-09-09
Krystyna,Prygiel,20283415812,1975-06-15
Nela,Nazar,86596612455,1998-09-23
Aleksander,Sykut,71226092074,2001-12-13
Leon,Siatka,81515523542,1998-03-10
Witold,Podeszwa,66866316108,1981-09-26
Leon,Daniec,89936677797,1993-07-02
Borys,Bernatowicz,47974414215,1997-05-20
Jakub,Flasza,83257691468,1997-04-24
Anna Maria,Wiza,15923794703,1981-12-22
Kornel,Pitek,51036878657,1979-02-16
Jan,Grzech,79725168219,1999-03-01
Patryk,Płocharczyk,84083481610,1987-12-08
Radosław,Kiepas,91944275098,1998-07-04
Michał,Lizoń,81946961230,2000-03-16
Jerzy,Katana,72210596280,1988-05-22
Leonard,Marciniszyn,45228715930,1990-04-09
Fryderyk,Nagel,39025452660,1974-11-09
Arkadiusz,Okła,51934988976,1999-06-11
Sonia,Dubel,23922778254,1974-02-05
Igor,Sycz,95991079513,1993-11-05
Gaja,Drela,53968152232,2001-09-09
Oliwier,Maćczak,93969960804,2001-08-06
Tola,Fiedorczuk,96117935067,1986-09-05
Damian,Czesak,56571670609,1984-10-29
Kamila,Woszczak,43473162720,1997-04-14
Ksawery,Aleksiejuk,78611645140,1999-04-16
Michał,Moskalik,74263921573,1986-05-10
Marika,Piejko,17385884828,1970-09-29
Lidia,Bobko,64032563087,1988-01-06
Kaja,Ziegert,78222142789,1971-02-06
Sonia,Skotarek,61642742501,1991-07-13
Maks,Kutnik,26123365439,2001-05-07
Iwo,Siembab,53544750097,1994-11-06
Marianna,Furgała,94353128084,1972-02-17
Emil,Frymus,51216388502,1987-08-31
Gaja,Krzyśków,40168022673,1988-06-27
Olgierd,Buszta,70531358021,1984-06-21
Julian,Myrcha,30158667554,1978-03-22
Alex,Rozmiarek,95459547407,1983-06-25
Oskar,Tyma,85491736461,1995-11-04
Konrad,Knapek,51747552736,1993-10-25
Sebastian,Prokopczuk,74469428583,1971-08-25
Marcelina,Rolak,59361337953,1998-03-12
Nela,Gmur,70888889487,1973-04-17
Kamil,Wochnik,48945667681,1996-10-03
Jan,Budzyń,16308710768,1982-09-20
Przemysław,Prawdzik,45587012498,1971-07-24
Ignacy,Szymańczak,96923529873,1973-02-04
Aniela,Wowra,40801465642,1972-05-19
Dariusz,Jama,60437676874,1992-07-17
Fryderyk,Capała,90819135295,1971-10-08
Miłosz,Ficoń,81524797315,1995-03-13
Tobiasz,Baster,78825972857,1980-05-12
Mateusz,Przybyś,96384481664,1995-10-29
Tomasz,Januchta,45326455531,1978-10-05
Julian,Oczkowicz,69760099521,1973-03-04
Sonia,Boruń,77822448138,1978-06-04
Przemysław,Falba,33811467008,1995-03-09
Alex,Słowiak,43955095543,2000-09-03
Ida,Wośko,79962915997,2000-03-06
Ewelina,Nastały,93143080329,1981-04-21
Stefan,Franik,35255992479,1988-01-21
Dorota,Pietrasiak,60176646615,1971-02-20
Angelika,Ciepłuch,16201809168,1970-08-28
Julianna,Pawela,36192989999,2000-06-29
Aleks,Michniak,67808692107,1984-03-01
Maks,Jarkiewicz,12980632845,1989-01-12
Artur,Gieroń,51374193282,1970-08-17
Robert,Iciek,24027842226,1993-06-08
Kornel,Kornak,71197484128,1997-01-04
Igor,Olszyna,18787896591,1976-12-19
Rafał,Franik,49261041990,1977-06-24
Bartek,Głownia,38401879326,1990-06-17
Mateusz,Kunda,72255335302,1990-05-24
Marcelina,Kukawka,55244259196,1996-07-29
Dominik,Ciechowicz,21473389516,1971-11-04
Szymon,Bąbel,53342033107,1990-09-17
Antoni,Mateusiak,71077363121,1982-11-01
Kornelia,Dybał,12746137171,1975-08-06
Aleksander,Mazik,10752597101,2002-04-26
Emil,Łacina,92454836139,1975-05-04
Aleksander,Węgier,54667642888,1986-11-06
Maks,Heller,46698227082,1982-01-23
Radosław,Kiryluk,96761303187,1983-10-02
Lidia,Długozima,98927746181,1971-07-07
Inga,Kostera,97694087116,1991-01-16
Janina,Sojda,78421133134,1984-02-02
Juliusz,Kohut,44845592217,1989-07-04
Blanka,Maron,79581627035,1993-11-26
Igor,Fijałek,91472504529,1979-06-10
Kamila,Malecha,14698432591,1973-10-17
Paweł,Zontek,38370537133,1996-06-09
Maciej,Hadam,79837547979,1982-09-28
Krystian,Drobny,77944708949,1992-12-08
Kornelia,Tyka,92278660820,1987-05-25
Olga,Czermak,76928308833,1989-11-08
Tomasz,Staciwa,58999427365,1981-05-07
Lidia,Sterna,86691242869,1986-07-30
Miłosz,Heczko,91186343159,1978-12-03
Anastazja,Jośko,88227110010,1978-03-27
Jacek,Trybuś,27133322585,1973-03-15
Krystian,Bik,22782134294,1995-12-29
Fryderyk,Kościelak,17228802189,1995-01-24
Wojciech,Stawczyk,21342203296,1995-08-12
Kazimierz,Kala,88245474613,1987-05-06
Ewelina,Spólnik,58765309633,1975-07-17
Igor,Lazarek,75081263258,2002-07-10
Maks,Woda,54288363054,2001-02-04
Mieszko,Witas,76701342826,1986-02-05
Radosław,Matusewicz,36541930292,1994-07-22
Cyprian,Pogorzelec,31032925474,1983-12-18
Patryk,Sasak,10892966353,1986-05-12
Piotr,Łaskawiec,28939362932,1993-06-13
Karina,Przybyś,83413114219,1988-01-20
Agnieszka,Sus,56983558311,1973-12-18
Liwia,Gleba,64370570847,1991-12-25
Ewa,Dorynek,15045980600,1978-11-15
Przemysław,Sadowy,40295250072,1995-08-01
Aleks,Lorens,76186421353,1975-04-10
Jędrzej,Piwek,79154526484,1976-03-12
Emil,Legutko,32612954086,1999-10-01
Miłosz,Czubaszek,97142243855,1993-11-27
Dariusz,Feliniak,48272979007,1970-04-17
Sandra,Milewczyk,38552626370,1990-11-17
Eryk,Sałuda,59313675544,1991-11-05
Tomasz,Zadka,58885540997,1974-10-25
Lidia,Bryczek,64024218560,2001-09-30
Marek,Kołaczek,60734819334,1977-11-13
Ksawery,Grys,87115313481,1981-11-15
Nataniel,Kowala,47300435005,2001-02-16
Ida,Jakimiak,65234979946,1997-03-28
Andrzej,Kandziora,11808578131,1972-03-15
Ada,Pera,67255572442,2002-04-29
Ida,Tomzik,31730307058,1995-01-16
Ryszard,Ograbek,89324878193,1984-12-06
Marek,Strzelczak,58014037178,1984-07-01
Justyna,Kręcichwost,51978494442,1970-01-05
Ernest,Fabiańczyk,33053447983,1990-04-23
Kazimierz,Szambelan,81465616794,1973-09-15
Łukasz,Woroch,19969111048,1971-02-01
Karina,Gryska,58984606485,1982-05-31
Szymon,Aleksa,97302913057,1973-01-31
Eliza,Marciniszyn,48984605847,1994-09-11
Aleksander,Dub,67832351683,1970-11-07
Dagmara,Kosz,68104069617,2001-05-13
Stefan,Łuszczyk,23049135580,1971-10-04
Malwina,Bernatowicz,70867677082,2001-03-31
Natasza,Apostel,17906381413,2003-01-22
Dorota,Wabik,60956583253,1987-03-10
Stefan,Zimoń,77620427927,1994-10-25
Adrian,Latuszek,29171320825,1987-11-13
Mariusz,Szram,12533884295,1993-07-29
Nicole,Ryfa,38575098683,1997-02-13
Melania,Sołoducha,53157451954,1971-02-18
Radosław,Nagel,59668858411,1981-03-13
Bianka,Hutyra,67537881067,1977-11-29
Ada,Waszczyk,55061612756,1991-06-04
Tola,Lament,44427724162,1996-02-08
Olga,Kukieła,82159846171,1995-11-18
Franciszek,Syldatk,82487469178,1999-08-26
Bartek,Droździel,58528182910,1976-11-19
Albert,Bondaruk,94783434499,1979-02-09
Karina,Megger,91340474404,1976-04-10
Krzysztof,Bieleń,71810525494,1976-05-11
Angelika,Kuzia,49541431596,2000-11-24
Karol,Lenc,22301844143,1987-11-23
Nikodem,Holeksa,33301270851,1995-01-21
Róża,Chorążewicz,27943384437,1981-12-07
Franciszek,Piotrak,99223451371,2002-08-11
Leonard,Kilar,40260712568,1985-10-07
Malwina,Stanisławek,24474293960,2000-02-11
Ewelina,Bohdanowicz,82446157405,1983-04-13
Stanisław,Brachaczek,44305758196,1978-05-15
Krystyna,Tomaszkiewicz,61133887728,1971-11-15
Ewelina,Opioła,12179781491,1984-06-04
Marika,Prystupa,94190943516,1995-05-28
Natan,Muskała,37296129866,1986-11-27
Dariusz,Nogieć,12117076086,1992-10-27
Iwo,Superson,63032630301,1994-11-04
Tomasz,Korbut,98152910797,1993-09-25
Marika,Kuban,10120703635,1980-01-20
Kaja,Bartoszak,67682610078,1974-10-23
Dominik,Rozumek,26848301222,1982-04-10
Tymon,Drobisz,53053656698,1999-12-09
Paweł,Jasnoch,32887780252,1977-02-01
Klara,Pokrzywa,55600000981,1971-11-26
Adrian,Szaj,16790954539,1986-03-27
Dagmara,Tasarz,24643560969,1999-04-05
Agnieszka,Wawrzynek,20255850303,1985-12-15
Olaf,Grzelczyk,61255037881,1986-07-19
Błażej,Drewicz,44977785980,1992-01-22
Melania,Szramka,69410777725,1982-08-19
Fryderyk,Ryndak,84107009498,1973-06-16
Julianna,Zmuda,82787063733,1991-06-19
Tadeusz,Toborek,56731650524,1972-09-29
Gustaw,Żelazek,84233635355,1994-09-21
Anita,Wrochna,28624915346,1977-06-08
Tadeusz,Sobkiewicz,66827406722,1992-08-01
Arkadiusz,Mieszała,23749161586,1975-08-13
Aleksander,Gula,32356111767,2000-08-12
Anita,Cylwik,64409962373,1976-12-23
Natasza,Łaszczyk,60094910104,1983-08-22
Kamil,Bakiera,15723372649,1974-11-03
Janina,Prochownik,92233558796,1977-04-19
Gabriel,Danel,37502429101,1978-10-17
Albert,Koman,89425900480,1990-11-11
Olaf,Sanetra,17893682725,1998-12-22
Marcel,Zdziech,97563737194,1973-11-23
Ryszard,Lepa,23835100428,1970-08-13
Sylwia,Miękus,49835719392,1987-01-22
Dagmara,Horbacz,42164986098,1974-09-08
Marek,Franczuk,43322078778,1970-06-15
