name,surname,date_of_birth,date_of_hiring,firing_date,pesel
Bianka,Szyca,1968-08-03,2021-05-01,,20083628363
Igor,Łuksza,1976-03-15,2020-10-22,,61629185235
Gaja,Maciocha,1984-08-05,2023-06-22,2024-09-04,21124399354
Józef,Buczma,1976-06-13,2023-12-15,,75677651070
Róża,Nikołajuk,1978-12-18,2023-10-09,2024-09-09,42052887436
Hubert,Fogel,1983-02-23,2020-06-13,,16529909342
Julian,Kieca,1977-01-15,2022-07-19,,26997426310
Eryk,Towarek,1986-10-28,2022-12-08,,15353825675
Fryderyk,Myrcha,1990-10-31,2023-11-14,2024-09-27,52383967524
Józef,Marcol,1979-08-21,2021-03-14,,94152781138
Adam,Sieradzan,1974-09-14,2020-08-26,,32303945805
Albert,Kolanko,1985-05-22,2020-10-17,,54817059291
Nataniel,Trzos,1996-02-08,2023-11-16,,93663035177
Patryk,Olszowa,1994-05-09,2021-10-17,,86403827598
Monika,Schubert,1977-03-07,2023-05-12,,57448708708
Mieszko,Sypień,1965-07-03,2022-11-11,,19551317197
Franciszek,Elias,1969-10-25,2023-09-15,,46790376589
Jakub,Frukacz,1977-10-12,2021-01-22,,65785114428
Patryk,Sobiło,1975-12-07,2022-12-09,,51027802688
Mikołaj,Buk,1983-09-15,2020-06-09,,60684629551
Daniel,Jakubaszek,1990-07-04,2020-04-27,,71621615902
Olaf,Zaguła,1977-03-29,2020-07-22,2022-08-28,76457493596
Kornelia,Garczyk,1966-07-23,2023-09-11,,41127431326
Łukasz,Dziadowicz,1982-08-16,2023-11-06,2024-05-25,36570418990
Antoni,Hałka,1993-05-08,2021-12-28,,47522677543
Inga,Wierzchoń,1970-07-16,2020-12-26,,88079496704
Sandra,Maron,1991-04-07,2023-12-27,,16282950173
Janina,Bors,1979-07-02,2023-12-11,,20143130633
Emil,Antończak,2001-03-02,2020-12-01,,72364019289
Kornelia,Swiątek,1977-05-17,2023-11-24,,29773212286
Olga,Kadela,1981-09-19,2020-07-24,,36249826685
Robert,Konieczek,1983-10-19,2020-08-02,,45271826160
Róża,Staś,1975-10-22,2020-06-22,2022-07-12,50330799473
Borys,Welenc,2000-01-17,2023-05-27,,27390431119
Alan,Kałwa,1969-06-24,2022-04-18,,69336554684
Ryszard,Kurc,1999-12-21,2022-10-20,,16249300915
Dominik,Melaniuk,1986-07-23,2020-01-02,,98818613410
Sandra,Grębowiec,1989-12-01,2022-07-17,,26100520691
Bianka,Dejneka,1965-12-02,2020-09-23,,71653239013
Bruno,Malka,1981-07-12,2022-04-19,,45379576959
Marek,Hrynkiewicz,1987-04-11,2023-02-27,,88991789590
Inga,Kubowicz,1990-02-26,2021-05-09,,99091372390
Karina,Szott,1996-02-16,2023-12-09,2024-07-15,64867656632
Kajetan,Szczot,1969-02-14,2022-05-11,,58025727267
Sara,Glazer,1990-10-23,2021-09-13,,82388769514
Jakub,Sapała,1966-07-19,2020-06-10,,68781118810
Kalina,Koćwin,1982-10-26,2020-03-05,,33961901198
Szymon,Pielech,2002-02-12,2021-05-07,,19388414885
Nicole,Tylus,1970-08-25,2022-11-19,,94958722470
Aniela,Wilma,1990-10-13,2021-05-11,,22663396282
Norbert,Uss,2001-09-28,2021-03-01,,62932028745
Rafał,Lesiewicz,1973-07-03,2021-07-18,,48287057587
Bruno,Iwańczyk,1978-09-16,2021-01-04,,22528697442
Marcel,Pachnik,1998-07-25,2022-06-12,,80198986256
Kalina,Hutyra,1971-03-14,2022-05-17,2023-06-06,41627936837
Antoni,Wenda,1966-01-04,2020-10-08,,52748753958
Marika,Chlebek,1968-01-28,2023-01-20,,39839996817
Adrian,Kajak,1978-05-16,2023-09-21,,32172725305
Nataniel,Pietryga,2000-04-22,2020-11-07,,65212274240
Fryderyk,Osial,1987-11-20,2020-07-02,,58746336938
Rafał,Tuzimek,1998-07-28,2022-05-15,,61440169537
Justyna,Andrearczyk,1987-06-23,2020-07-22,,66588110691
Angelika,Hamerla,1975-07-21,2022-06-15,,74778454028
Tymon,Bubel,1990-09-20,2020-05-22,2024-05-04,56786935750
Marianna,Delikat,1979-08-01,2022-03-26,,48259829817
Oskar,Jeszka,1977-08-22,2020-12-27,,17195039852
Angelika,Kulma,1978-03-26,2020-07-21,,71055381794
Maks,Majsterek,1989-12-31,2022-05-14,,15875381041
Sara,Lemke,1969-04-24,2020-02-19,,17720604399
Karina,Grzela,1972-11-29,2020-05-07,,83402466682
Dorota,Koźlak,1983-05-24,2022-01-14,,62940321127
Michał,Klama,1990-10-22,2020-05-30,,21502774324
Fryderyk,Tyczka,1975-07-13,2020-07-14,,97578014361
Robert,Kamyszek,2000-11-30,2020-06-22,,14660924453
Radosław,Straszak,1968-08-25,2022-08-26,2022-12-31,65645574538
Sebastian,Wilma,1975-08-18,2022-11-02,,29192477914
Marianna,Sankiewicz,1994-02-02,2020-05-18,,43617219117
Jeremi,Zajko,1986-04-26,2022-10-07,,74550792656
Bruno,Wojniak,1971-09-21,2020-07-02,2022-08-01,55901016151
Alan,Bukowiec,1977-01-27,2020-12-31,,56282410559
Aurelia,Groth,1989-09-29,2021-10-13,,57748133419
Stanisław,Sadownik,1983-04-03,2022-03-28,2023-05-25,98597216868
Eryk,Pęciak,1978-01-30,2022-11-22,,68568172568
Nikodem,Kunc,2000-05-29,2023-07-22,,57651799441
Adrianna,Młyńczak,1973-12-09,2021-10-06,,39494080553
Albert,Kinder,1990-02-11,2021-03-21,,81566189354
Jan,Janke,1973-09-05,2023-09-05,,53634481252
Dariusz,Jenek,2002-12-11,2022-08-11,,92173790106
Roksana,Faltyn,1993-10-29,2022-09-29,,68862524368
Klara,Borysewicz,1979-08-08,2022-12-29,,54830523741
Jerzy,Lenda,1984-09-05,2021-07-11,2022-08-24,73380062069
Dorota,Semenowicz,2002-03-07,2022-04-16,,30890556946
Borys,Podpora,1975-04-24,2021-01-06,,98509716186
Sonia,Kreczmer,1992-11-07,2020-05-24,,45010981150
Eryk,Solarczyk,1998-11-17,2023-02-15,,47371411040
Bartek,Sacharczuk,1982-09-27,2022-09-17,,45336554515
Janina,Smardz,1993-04-11,2022-02-06,,96656296513
Nikodem,Miszkurka,1990-09-08,2022-01-23,,92930432622
Aleksander,Stefanik,1969-05-05,2023-01-27,,13185730094
Ernest,Petryk,1980-10-27,2020-05-12,,54554664743
Kaja,Dąbal,1984-02-29,2021-04-26,,90657488627
Elżbieta,Kłoczko,1965-11-11,2021-05-27,,16166934131
Lidia,Pierchała,1969-08-26,2022-06-25,,54897405475
Oskar,Ładniak,1992-05-06,2022-12-16,,53467404099
Urszula,Marach,1977-10-24,2022-02-02,,70163199248
Iwo,Durlej,1975-11-09,2020-09-09,,12174340172
Maciej,Kłoczko,1993-01-04,2023-08-25,,23214374643
Anna Maria,Kabala,1995-08-23,2021-10-16,,78683182655
Błażej,Gadzała,2000-05-10,2022-01-04,,67520858624
Kornel,Klus,1999-03-23,2021-07-26,,53888502749
Cyprian,Rozmiarek,2001-04-29,2023-12-10,,36454290085
Angelika,Furmankiewicz,1987-12-01,2021-01-27,,56512286809
Marcelina,Habdas,1965-11-11,2021-10-18,,16116094992
Damian,Kurzac,1996-02-29,2021-11-16,,91022977538
Apolonia,Jaremko,2002-07-20,2020-02-25,,96124115918
Olgierd,Kadela,1988-02-21,2021-06-12,,23198875511
Daniel,Bogusiewicz,1969-12-30,2022-03-12,2023-05-10,14409461642
Oliwier,Sobstyl,1989-06-06,2021-03-24,,25048650132
Hubert,Listwan,1977-11-11,2022-06-25,,25304818634
Tola,Suchta,2002-05-01,2022-07-27,,69766744911
Mateusz,Gołota,1966-06-01,2022-10-05,,32831792210
Anita,Fita,1974-06-14,2021-10-14,,74556668743
Maksymilian,Mizgała,1989-12-03,2022-06-27,2023-08-06,27531473360
Rafał,Wołoszyk,1977-01-28,2021-09-03,,49940743432
Franciszek,Brodowicz,1986-08-29,2020-11-27,2023-06-26,67704447350
Sonia,Piotrowiak,1973-07-22,2023-03-31,,87172890088
Melania,Wilma,1971-12-16,2022-08-09,,49337359871
Olaf,Kiełbowicz,1968-03-18,2022-05-19,,41739121368
Karina,Cyroń,1980-12-17,2020-01-25,,17625723374
Jędrzej,Tymczyszyn,1979-12-30,2023-05-22,,96275692737
Miłosz,Kopyto,1967-07-17,2023-11-08,2024-04-05,27622731698
Dariusz,Godzwon,1975-08-11,2022-07-12,,72453535634
Maksymilian,Krefta,1998-09-12,2021-11-14,,21776675073
Kornelia,Chaber,1995-10-09,2021-09-16,,30203975202
Sara,Dorobek,1993-07-21,2022-09-09,,65879728460
Nataniel,Aleksa,1974-04-20,2020-11-10,,89928500632
Łukasz,Bieleń,1996-10-11,2022-01-02,,23551870114
Juliusz,Ochal,1973-07-29,2021-02-24,,93373985733
Marcin,Dorynek,1978-07-28,2022-03-24,,29475657831
Łukasz,Szlęk,1983-05-04,2023-06-14,,35412429101
Igor,Bortkiewicz,1994-06-29,2021-10-17,,65033563662
Piotr,Węgrzyk,1997-09-18,2023-06-26,,31948281546
Anastazja,Swaczyna,1976-07-31,2023-10-04,,48493869311
Dawid,Słoń,1998-02-17,2023-04-05,,42588819215
Nela,Han,2002-10-05,2020-10-01,,34427228351
Bianka,Kubiaczyk,1985-01-05,2022-08-15,,59658896458
Bruno,Pyć,1990-02-22,2020-10-05,,37972854418
Klara,Owsiany,1972-09-05,2021-09-06,,11652370503
Natasza,Salwin,1999-01-02,2020-06-03,,15229702360
Dariusz,Darul,1985-07-04,2021-05-26,,44720323048
Marcel,Stanisławczyk,1990-03-05,2021-10-11,,85579378115
Malwina,Sobkiewicz,1981-02-23,2020-02-11,,78032301172
Mikołaj,Elsner,1968-01-15,2023-09-15,,60343340539
Aleks,Pajda,1992-02-02,2022-04-25,,70161030716
Mieszko,Fiedorczuk,1972-05-30,2022-11-14,,18483402862
Aleksander,Sklorz,1971-09-13,2020-12-31,2021-11-15,85420288785
Fryderyk,Owsiak,1975-08-13,2023-11-22,,29757736334
Arkadiusz,Ciepluch,1996-01-07,2020-02-01,,19497009679
Aniela,Cal,1985-06-28,2021-07-21,,17388548754
Paweł,Hanke,2001-06-18,2020-12-20,,59801561866
Blanka,Jonik,1986-02-19,2023-01-26,,86518257970
Gustaw,Dziuban,1992-12-20,2020-07-04,,27100491357
Apolonia,Smardz,1977-04-12,2021-06-14,,23499282853
Marcin,Zięciak,2000-05-21,2021-04-25,,33962642347
Mikołaj,Kaczka,1992-05-30,2021-08-30,,18765167051
Eliza,Niechciał,1999-01-02,2022-03-05,,90103109953
Eliza,Banek,1996-01-26,2021-11-25,2022-09-24,62911276869
Karina,Rok,1986-05-18,2021-10-21,,75983766870
Angelika,Engler,2001-07-16,2021-07-24,2024-10-02,70794283344
Lidia,Ryznar,1982-11-11,2021-04-04,,92231155181
Kazimierz,Łukowicz,1981-07-27,2023-11-02,,87575114805
Kalina,Schwarz,1966-01-28,2023-12-13,,75779209008
Roksana,Boguś,1980-06-04,2020-09-13,,29438441185
Janina,Wójcikiewicz,1981-07-23,2022-09-29,,47923563556
Natan,Pioch,2001-11-11,2020-11-15,,83974673972
Aleksander,Cyrek,1968-02-22,2022-12-18,,75328911981
Sandra,Grzebyk,2001-11-12,2021-11-04,,20512343976
Łukasz,Rząca,1997-08-13,2023-09-09,,17612630178
Cezary,Grzegorzak,1986-10-08,2022-12-03,,21872841532
Róża,Prochownik,1971-01-21,2022-12-30,,23893676225
Karol,Bryczek,1974-04-11,2022-05-27,,64036971545
Ignacy,Skutnik,1998-01-05,2022-10-07,,71544476535
Eryk,Sąsiadek,1981-06-10,2021-08-13,,51279908986
Gustaw,Pagacz,1970-10-25,2020-01-03,,29676245018
Józef,Słoń,1997-10-14,2020-10-04,,59681253701
Adrianna,Kapustka,1997-05-15,2021-03-10,,70921572120
Hubert,Jośko,1974-06-25,2020-04-14,,29270947423
Oskar,Kusztal,1971-03-09,2022-07-17,,51063056374
Dagmara,Smela,1984-08-13,2021-08-07,,41070320456
Eliza,Ellwart,1984-04-08,2021-08-06,,99391288492
Blanka,Molak,1970-05-05,2020-08-01,2023-03-11,12021025003
Marek,Przewłoka,1973-09-03,2022-08-11,,76476780843
Ksawery,Jereczek,1990-02-15,2021-11-10,,68900372590
Hubert,Glenc,1973-03-24,2023-03-09,2023-05-16,25289211922
Aleks,Koćwin,1978-03-28,2021-02-10,2024-02-24,46412287633
Stefan,Łosiewicz,1979-06-03,2020-04-29,,89295887837
Paweł,Wawrzeńczyk,1989-08-10,2021-12-18,,66102026024
Cezary,Piekart,1983-01-10,2021-02-11,,63545502234
Ida,Mudlaff,2000-10-04,2021-10-23,,68176632306
Ada,Maćków,1966-06-11,2021-04-26,,29935703089
Gaja,Dytko,1976-03-24,2022-10-22,,83889654108
Marek,Drobisz,1994-02-10,2022-09-30,,49047798217
Klara,Rembacz,1987-09-08,2021-01-22,,64920854449
Eliza,Samul,1974-08-28,2022-09-30,,97253782717
Rozalia,Pokrzywa,2000-11-21,2022-01-27,,83112330015
Eryk,Łupina,1982-09-04,2023-05-27,,42441061151
Liwia,Jędrak,1989-06-08,2023-02-27,,47712101506
Grzegorz,Damek,1997-08-13,2023-01-07,,70338163901
Krzysztof,Przewoźna,1969-07-14,2021-07-15,,56262090285
Monika,Sidorczuk,1988-06-28,2020-01-28,,88133820244
Witold,Dobosiewicz,1978-11-19,2022-10-17,,32391997013
Natasza,Tylman,1973-08-22,2023-08-25,,65052397940
Anna Maria,Taciak,1965-12-29,2021-12-31,,17007882966
Tymoteusz,Koćwin,1967-10-13,2020-09-23,,38402001824
Antoni,Kosak,1971-08-18,2020-01-06,,63430718476
Ewelina,Cabała,2001-08-29,2022-09-07,,82984804100
Patryk,Gryszkiewicz,1984-02-09,2022-06-04,,42576381611
Olaf,Futyma,1970-01-15,2023-03-01,,17964533040
Kazimierz,Jaroch,1990-02-03,2022-08-30,,41653486973
Patryk,Hanus,1990-07-09,2020-09-10,,64392478649
Ryszard,Hamerla,1977-01-02,2021-03-09,,21590276849
Jan,Wężyk,1970-09-15,2021-08-11,,54171731301
Franciszek,Margas,1976-07-31,2023-05-12,,47663858622
Tomasz,Gal,1968-09-23,2023-05-18,,96176617107
Piotr,Stroka,1997-01-08,2020-11-25,2020-12-26,40627871760
Piotr,Paliga,1993-08-15,2021-09-18,,98262723038
Franciszek,Wujec,1999-10-03,2022-08-29,,54314936279
Justyna,Teterycz,1999-04-21,2023-03-03,2024-12-19,39944890495
Maurycy,Ryndak,1984-12-07,2020-10-25,,25242169162
Aniela,Chomiuk,1985-07-18,2020-12-13,,88764484520
Ada,Godzisz,1986-07-13,2020-06-07,2023-11-14,19461855482
Kajetan,Lamch,1991-12-13,2022-08-07,,90000326326
Dominik,Chaba,1989-10-30,2022-07-20,,44423691580
Adam,Konieczek,1979-09-02,2023-11-15,,69948103471
Hubert,Jargiło,1972-12-25,2023-07-17,,29509639559
Tymoteusz,Drozdowicz,1990-10-03,2023-03-14,,38407738390
Jacek,Dyś,1983-10-20,2020-11-17,,65449170967
Antoni,Dybał,1978-07-31,2020-08-04,,35229476201
Sebastian,Lepa,1996-06-22,2021-01-07,,80035171924
Grzegorz,Olas,1977-09-08,2021-01-22,,26271381188
Filip,Drygała,1967-10-27,2021-05-09,,69536450286
Tola,Małys,1976-02-01,2020-02-08,,65907385948
Tadeusz,Frymus,1970-10-14,2023-01-30,,48394191621
Malwina,Noculak,1967-02-08,2023-03-10,,90566038315
Blanka,Niedbał,1985-04-22,2020-05-25,,79133121793
Robert,Konrad,1987-05-25,2020-01-12,,92505326122
Natasza,Jędryczka,1991-10-13,2021-06-23,2024-06-29,74348095629
Marianna,Hołota,2001-01-15,2022-07-06,,83972495347
Jędrzej,Boryczko,1985-03-16,2023-07-04,,26719000255
Stefan,Makoś,1990-02-24,2022-07-07,,35479192238
Lidia,Gapys,1969-11-17,2021-10-12,,44897834903
Krzysztof,Fikus,1983-10-17,2020-11-04,,48631799944
Bartek,Michnowicz,1979-01-31,2021-06-23,,56902469787
Kazimierz,Lipowicz,1974-01-26,2022-04-21,,33953417116
Kamil,Oleksiuk,1981-03-20,2021-01-08,,60558913932
Patryk,Jędryczka,1973-08-13,2022-05-30,,48469368610
Kajetan,Koniec,1965-08-21,2023-06-29,,82960712628
Tomasz,Czupryn,1977-09-07,2023-09-12,,13836335731
Roksana,Koziarz,1995-02-19,2021-12-17,,17396918902
Dagmara,Puła,2000-11-10,2021-10-05,,48893175647
Jacek,Tórz,1998-12-26,2020-11-24,2023-05-02,94280350004
Leon,Dziełak,1972-12-16,2022-03-26,,86481504199
Kamil,Pielech,1969-11-11,2022-02-19,2024-01-19,45679530935
Ewa,Rutowicz,1997-04-01,2022-06-14,,19871427032
Dagmara,Sieczko,1995-06-20,2021-03-18,2023-09-01,22700252527
Melania,Staniczek,1972-12-27,2021-07-03,,81898570013
Michał,Rup,1969-11-18,2022-03-02,,35685901463
Filip,Siebert,1970-01-01,2022-07-30,,97895893531
Gaja,Mądrzyk,1970-02-05,2022-01-04,,74090863129
Ignacy,Rutowicz,1998-09-29,2021-07-26,,97987012175
Kamila,Galica,1969-10-22,2020-02-05,,48925749834
Maks,Gonsior,1987-12-02,2022-07-11,,18514354777
Maks,Zamora,1977-12-28,2021-05-30,,22043236867
Angelika,Szramka,1977-06-20,2021-02-04,,73183353442
Malwina,Mendyka,1968-10-11,2021-09-29,2023-02-24,35162254019
Tymoteusz,Hajder,1995-12-30,2022-10-05,,99737484640
Miłosz,Krochmal,1975-05-05,2022-01-30,,38836760277
Marcin,Błasik,1996-02-28,2021-06-12,,41413014421
Olga,Oleksak,1999-12-13,2022-01-16,,12201864724
Robert,Dub,2002-12-10,2021-09-30,,68860698592
Marcin,Jarkiewicz,1994-02-28,2020-07-06,,25283179924
Tymon,Kiełbowicz,2001-12-12,2020-07-12,,76929255177
Piotr,Roczniak,1991-09-18,2021-03-04,,42024300797
Marek,Wiszowaty,1965-12-21,2022-08-17,,82687805983
Aleks,Malara,1986-02-06,2022-09-04,2022-12-28,56800467565
Olga,Pasiut,1966-09-09,2022-08-21,,81333060448
Dawid,Leśny,1987-08-28,2020-09-16,,29301198823
Tymoteusz,Bytner,1992-01-19,2023-05-23,,43205409112
Borys,Kuk,2002-08-12,2023-04-03,,32043090944
Nicole,Sypuła,1996-04-12,2022-07-31,,55216286349
Jędrzej,Bugla,1975-06-05,2020-05-25,,55507380764
Mateusz,Drewniok,1979-11-29,2022-10-24,,25417517803
Sandra,Wichłacz,1987-08-13,2022-04-17,2024-01-09,51133271569
Nataniel,Osojca,1984-08-08,2020-08-29,,47084326869
Mieszko,Kołaczek,1982-12-29,2021-06-09,,79021257414
Apolonia,Szlufik,1978-04-07,2021-08-16,,21860748680
Witold,Kretek,1980-09-21,2020-02-12,,12985860420
Jeremi,Fryś,2002-09-14,2021-08-12,,32456322635
Borys,Kordus,1988-10-15,2021-06-19,,67960193557
Karol,Rolak,1975-06-08,2023-09-19,,80128426157
Maksymilian,Boksa,1971-06-17,2020-06-16,,55458375401
Piotr,Wasążnik,1979-08-09,2023-12-21,,98205179535
Marika,Dyś,1998-01-03,2020-11-10,,68207515512
Kornelia,Trojanek,2001-02-10,2021-07-12,,63686672569
Rozalia,Słomian,1988-12-12,2022-04-29,,89722481910
Juliusz,Buszkiewicz,1985-09-25,2022-02-09,,13239236823
Fryderyk,Wywiał,1992-08-21,2022-09-29,,25526558190
Igor,Hewelt,2002-06-09,2020-08-28,,86834726608
Ernest,Trojanowicz,1978-11-17,2022-10-18,,28721679797
Natasza,Czubaszek,1984-02-28,2020-11-21,,36942377258
Radosław,Bicz,1986-08-22,2022-05-22,,95815375149
Jan,Wudarczyk,2002-03-31,2023-05-01,,48911041583
Sandra,Zaborek,1976-11-08,2020-01-06,,20484749394
Hubert,Bogaczyk,1972-01-21,2022-12-09,,81711423982
Kamil,Bryja,1980-03-22,2022-01-02,,67484069552
Urszula,Gwara,1984-01-09,2020-07-04,,77751991802
Emil,Wawryniuk,2002-03-07,2022-05-25,,58173291400
Sebastian,Frymus,1985-04-08,2020-02-28,,59507616346
Jacek,Gumieniak,1992-01-11,2021-05-24,,43153727648
Michał,Siedlik,1966-09-05,2023-01-10,,71083315841
Mikołaj,Drewniok,1998-11-18,2022-12-27,,47876017108
Bruno,Reichel,2002-10-14,2021-04-02,2024-01-27,91151761785
Tobiasz,Florian,2000-06-05,2023-01-12,,60075796972
Ignacy,Pesta,1996-07-12,2022-07-25,,94017994807
Dagmara,Zachwieja,1972-12-15,2020-09-23,,94175277958
Gabriel,Ciuruś,1999-11-02,2021-09-01,,71274243659
Tymon,Saj,1967-01-30,2021-10-13,2024-04-20,51730306227
Dagmara,Kusztal,1993-02-08,2020-04-12,,11029872685
Kamil,Dawiec,1965-05-24,2022-08-11,,62562609980
Kacper,Zieniewicz,1973-08-27,2021-10-13,,79123880694
Jeremi,Jędraszczyk,1995-12-10,2021-04-03,,41237684096
Ksawery,Krystkowiak,1967-11-05,2020-12-25,,89258737830
Sandra,Bawoł,1981-10-05,2023-02-20,,17145516043
Michał,Mszyca,1994-05-01,2022-03-08,,35430372254
Karina,Świt,1994-03-04,2022-03-27,,53254346381
Cyprian,Żywica,1997-05-25,2020-11-14,,44500250650
Anita,Mierzwiak,1985-03-14,2021-06-03,,80208684422
Jacek,Bosek,1967-12-05,2022-07-05,,65197845784
Dorota,Gryciuk,1989-06-14,2021-02-28,,88857250794
Karina,Dziuda,1994-04-11,2023-12-08,,27261158305
Mikołaj,Majsterek,1995-05-17,2023-02-15,,99642455782
Karol,Pindral,1977-05-22,2021-01-02,,74250613665
Hubert,Peciak,1979-09-24,2022-09-05,,83777111889
Adrian,Zegadło,1976-04-18,2023-02-23,,10174897124
Sylwia,Pyszczek,1987-02-03,2022-07-01,2024-06-04,59859928129
Sandra,Prokopczyk,2002-11-08,2023-01-22,,90098606903
Konstanty,Doroszuk,1968-09-01,2021-05-12,,16005222338
Adrianna,Jaszcz,1999-12-26,2020-09-13,,76359217586
Marika,Szczypek,1973-01-14,2021-12-08,,68389562728
Blanka,Chachaj,1998-06-26,2023-11-08,,30124437141
Lidia,Przewłoka,1967-02-02,2020-10-19,2020-11-02,65387981786
Tobiasz,Dziadowicz,1971-02-24,2020-01-03,,98287930435
Alex,Dub,1979-04-10,2023-04-26,2023-07-06,43698004981
Sonia,Kucharz,1990-03-01,2020-07-24,,63538367628
Patryk,Matyjasek,1971-08-29,2020-01-18,2022-10-04,92047361183
Sandra,Dziechciarz,1980-01-14,2021-12-21,,88772382384
Mateusz,Trzcionka,1965-01-17,2020-04-17,,54935756102
Tymon,Kalinka,1997-01-19,2023-12-26,,88193654946
Urszula,Lamch,1997-03-31,2023-02-02,,60477208307
Leonard,Jażdżyk,1984-05-06,2020-06-25,2022-10-04,29154578561
Paweł,Pieszak,1997-08-13,2023-07-31,2023-08-25,62082965578
Marek,Litwa,1997-06-13,2021-12-27,,73868606973
Andrzej,Bryzek,1988-07-23,2021-10-19,,31752684987
Leonard,Taranek,1994-08-08,2023-01-10,,43618184801
Marek,Namysło,1977-09-13,2020-10-04,,82789456459
